"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"LIVC","MONTE CIMONE","ITA","19-11-19","""2019-11-19T12:55:00.000Z""","LIVC 191255Z 21016G28KT 0000 -SN FG VV/// 00/M00 Q1012 RMK MON INVIS VAL INVIS VIS MIN 0000 19-11-19",0,4,6.7,2.5,0,0,44.2,10.7
"SVLF","LA FRIA, TACHIRA","VEN","19-11-20","""2019-11-20T12:00:00.000Z""","SVLF 201200Z N191000ZIL 19-11-20",0,0,0,0,0,0,8.238888888888889,-72.27083333333333
"KNUQ","MOFFETT FEDERAL AFLD","USA","19-11-21","""2019-11-21T16:56:00.000Z""","KNUQ 211656Z AUTO A2986 RMK AO2 SLP116 PWINO $ 19-11-21",0,0,0,0,0,0,37.41613888888889,-122.04913888888889
"OIAI","MASJED SOLEIMAN/SHAHID ASYAEE","IRN","19-11-25","""2019-11-25T10:50:00.000Z""","OIAI 251050Z 29004KT CAVOK 24/07 Q1016 19-11-25",0,0,0,0,0,0,32.00222222222222,49.26861111111111
"OIFK","KASHAN","IRN","19-11-25","""2019-11-25T11:00:00.000Z""","OIFK 251100Z 35004KT 9999 SCT040 BKN100 10/00 Q1024 A3025 19-11-25",0,0,0,0,0,0,33.89527777777778,51.57694444444445
"OIIS","SEMNAN","IRN","19-11-25","""2019-11-25T11:00:00.000Z""","OIIS 251100Z 18002KT 9999 FEW035 SCT090 07/M01 Q1024 19-11-25",0,0,0,0,0,0,35.611666666666665,53.498333333333335
"PAEL","ELFIN COVE","USA","19-11-27","""2019-11-27T17:49:00.000Z""","PAEL 271749Z 09007KT 25SM FEW150 M01/M05 A3040 RMK MIN -2.6 SPB E03010KT NOSPECI 19-11-27",0,0,0,0,0,0,58.1951663333333,-136.347389333333
"PALG","KALSKAG","USA","19-12-04","""2019-12-04T22:56:00.000Z""","PALG 042256Z AUTO 09004KT 10SM CLR M18/M20 A3007 RMK AO2 SLP187 T11781200 FZRANO 19-12-04",0,0,0,0,0,0,61.53597222222222,-160.34558333333334
"PADM","MARSHALL","USA","19-12-06","""2019-12-06T10:17:00.000Z""","PADM 061017Z AUTO 06024KT 2SM -SN BR CLR M17/M19 A2960 RMK AO2 PK WND 05031/1007 P0000 FZRANO 19-12-06",0,4,6.7,10,0,0,61.86416666666667,-162.02611111111113
"SVCR","CORO, FALCON","VEN","19-12-06","""2019-12-06T23:00:00.000Z""","SVCR 062300Z ZNIL 19-12-06",0,0,0,0,0,0,11.414722222222222,-69.68166666666667
"TVSV","E.T.JOSHUA,ST.VINCENT, AND THE GRENADINES","VCT","19-12-13","""2019-12-13T20:43:00.000Z""","TVSV 132043Z 12005G18KT 4000 SHRA BKN014 27/23 Q1010 19-12-13",0,2,3.3,0,0,1,13.144444444444444,-61.21083333333333
"LOWZ","ZELL AM SEE","AUT","19-12-16","""2019-12-16T08:50:00.000Z""","LOWZ 160850Z AUTO 23002KT 8000 BKN190 M05/M06 19-12-16",0,0,0,2.5,0,0,47.29222222222222,12.7875
"FAWK","WATERKLOOF (SAAF)","ZAF","19-12-19","""2019-12-19T19:00:00.000Z""","FAWK 191900Z AUTO 04003KT //// // ////// 24/03 Q1019 19-12-19",0,0,0,0,0,0,-25.82768888888889,28.220891666666667
"SVPC","PUERTO CABELLO, CARABOBO","VEN","19-12-24","""2019-12-24T13:00:00.000Z""","SVPC 241300Z 00000KT 9999 SCT020 XX/XX Q1011 19-12-24",0,0,0,0,0,0,10.480277777777777,-68.07277777777777
"SVVG","EL VIGIA, MERIDA","VEN","19-12-27","""2019-12-27T17:00:00.000Z""","SVVG 271700Z ///// 8000 VCHZ SCT017 BKN100 32/26 Q1011 19-12-27",0,0,0,0,0,0,8.623611111111112,-71.67500000000001
"OPRN","ISLAMABAD/BBIAP","PAK","19-12-28","""2019-12-28T11:00:00.000Z""","OPRN 281100Z 05004KT 1400 BR SCT100 11/08 Q1016 BECMG 1500 BR 19-12-28",0,0,0,0,0,0,33.61676666666667,73.09873888888889
"LIRK","MONTE TERMINILLO","ITA","19-12-28","""2019-12-28T22:55:00.000Z""","LIRK 282255Z AUTO VRB27G42KT //// M08/M14 Q1021 19-12-28",0,0,0,0,0,0,42.4666667,12.9833333
"CYOA","EKATI, NT","CAN","19-12-30","""2019-12-30T21:08:00.000Z""","CYOA 302108Z 15020KT 4SM DRSN BR OVC006 M18/M20 A2949 RMK ST8 19-12-30",0,2,10,10,0,0,64.69899722222223,-110.61460277777778
"PAJC","CHIGNIK","USA","19-12-31","""2019-12-31T12:59:00.000Z""","PAJC 311259Z AUTO 26015G27KT 8SM -SN FEW019 BKN026 OVC080 M07/M12 A2903 RMK AO2 PK WND 25030/1238 SLPNO P0000 T10721117 FZRANO 19-12-31",0,2,6.7,7.5,0,0,56.31146111111111,-158.3732361111111
"FVCZ","BUFFALO RANGE","ZWE","20-01-04","""2020-01-04T12:00:00.000Z""","FVCZ 041200Z 08013KT CAVOK 40/12 Q1015 20-01-04",0,0,0,0,0,0,-21.01,31.579444444444444
"GMML","LAAYOUNE/HASSAN 1","MAR","20-01-08","""2020-01-08T07:30:00.000Z""","GMML 080730Z 06010KT 7000 BKN003 12/12 Q1026 NOSIG 20-01-08",0,0,0,0,0,0,27.151666666666664,-13.219166666666666
"ENDR","DRAUGEN","NOR","20-01-08","""2020-01-08T17:50:00.000Z""","ENDR 081750Z AUTO 25052G68KT 02/M01 Q0981 20-01-08",0,10,0,0,0,0,64.3555556,7.7916667
"LDSB","BRAC/BRAC I.","HRV","20-01-09","""2020-01-09T13:00:00.000Z""","LDSB 091300Z 21005KT CAVOK 09/02 Q1025 20-01-09",0,0,0,0,0,0,43.285719444444446,16.679719444444444
"SLPO","POTOSI","BOL","20-01-10","""2020-01-10T14:00:00.000Z""","SLPO 101400Z 00000KT 9999 FEW017 SCT070 15/08 Q1039 20-01-10",0,0,0,0,0,0,-19.542222222222225,-65.72333333333333
"HEAR","EL ARISH / INTL","EGY","20-01-12","""2020-01-12T10:54:00.000Z""","HEAR 121054Z VRB02KT 9999 BKN025 19/13 Q1025 NOSIG 20-01-12",0,0,0,0,0,0,31.073333333333334,33.83583333333333
"WARR","SURABAYA/JUANDA","IDN","20-01-12","""2020-01-12T14:00:00.000Z""","WARR 121400Z 25005KT 230V290 7000 FEW020 27/25 Q1010 NOSIG 20-01-12",0,0,0,0,0,0,-7.383611111111112,112.78
"PAIW","WALES","USA","20-01-12","""2020-01-12T17:56:00.000Z""","PAIW 121756Z AUTO 17035G44KT 1SM -SN BR FEW019 SCT030 BKN090 M06/M06 A2970 RMK AO2 PK WND 17044/1756 SLP060 P0000 60000 T10561061 11022 21056 58005 FZRANO 20-01-12",0,10,6.7,7.5,0,0,65.62258333333332,-168.0949388888889
"CYSY","SACHS HARBOUR (DAVID NASOGALUAK JR. SAARYUAQ) NT","CAN","20-01-14","""2020-01-14T00:00:00.000Z""","CYSY 140000Z 13015KT 15SM DRSN SCT240 M27/M30 A3034 RMK CS3 10 / SNW CVR / TRACE LOOSE / LAST STFD OBS/NEXT 141400Z SLP292 20-01-14",0,0,10,10,0,0,71.99365555555556,-125.24145555555556
"CYBN","BORDEN, ON (HELI)","CAN","20-01-14","""2020-01-14T16:17:00.000Z""","CYBN 141617Z AUTO 13011KT 3SM OVC002 M01/M02 A3010 20-01-14",0,0,0,2.5,0,1,44.2716667,-79.9125
"PASH","SHISHMAREF","USA","20-01-16","""2020-01-16T20:56:00.000Z""","PASH 162056Z AUTO 10028KT 10SM CLR M12/M15 A2993 RMK AO2 PK WND 10030/2056 SLP136 T11171150 58030 FZRANO 20-01-16",0,4,0,0,0,0,66.24958333333333,-166.08936111111112
"RJTR","ZAMA/KASTNER","JPN","20-01-18","""2020-01-18T10:45:00.000Z""","RJTR 181045Z AUTO 31007KT 8SM OVC027 03/01 A2989 RMK AO2 UPB0958E05UPB10E21UPB35E36UPB39E45 OVC V BKN SLP127 $ 20-01-18",0,0,0,0,0,0,35.513666666666666,139.39366666666666
